customer_id,avg_distance_to_shops,min_distance_to_shops,max_distance_to_shops,products_purchased,unique_products_purchased,amount_purchased,avg_purchase,avg_price,shops_used,distance_shop_1,distance_shop_2,distance_shop_3,distance_shop_4,distance_shop_5,products_purchased_shop_1,products_purchased_shop_2,products_purchased_shop_3,products_purchased_shop_4,products_purchased_shop_5,unique_products_purchased_shop_1,unique_products_purchased_shop_2,unique_products_purchased_shop_3,unique_products_purchased_shop_4,unique_products_purchased_shop_5,amount_purchased_shop_1,amount_purchased_shop_2,amount_purchased_shop_3,amount_purchased_shop_4,amount_purchased_shop_5,avg_purchase_shop_1,avg_purchase_shop_2,avg_purchase_shop_3,avg_purchase_shop_4,avg_purchase_shop_5,avg_price_shop_1,avg_price_shop_2,avg_price_shop_3,avg_price_shop_4,avg_price_shop_5
24795,2163.4788,2129.3828,3097.71,1526.0,280.0,3137.821,11.048665,2.6327746,2.0,3097.71,2129.3828,1729.3933,3291.187,2212.3325,11,1515,0,0,0,10,274,0,0,0,39.812,3098.009,0.0,0.0,0.0,3.9812,11.3066025,0.0,0.0,0.0,3.4095,2.604427,0.0,0.0,0.0
32821,1754.8755,1112.8936,2686.5322,368.0,170.0,872.611,4.341348,2.904806,2.0,2686.5322,1112.8936,990.5391,3417.0405,1830.1667,140,228,0,0,0,82,119,0,0,0,336.479,536.132,0.0,0.0,0.0,4.1034026,4.505311,0.0,0.0,0.0,3.1597805,2.7291093,0.0,0.0,0.0
12221,1635.3676,1362.4164,3252.096,4255.0,467.0,8496.999,15.282372,2.4571745,4.0,3252.096,1362.4164,1601.5933,3800.0176,2370.3376,106,4108,37,0,4,74,445,33,0,4,221.427,8200.661,71.02,0.0,3.891,2.9922569,18.428452,2.1521213,0.0,0.97275,2.3123107,2.5265596,2.026303,0.0,0.97275
58788,1490.9993,1290.659,2026.5973,573.0,196.0,1130.124,4.594,2.1004877,3.0,1684.2013,2026.5973,1290.659,3192.0637,1520.9242,98,33,442,0,0,71,29,146,0,0,201.908,61.26,866.956,0.0,0.0,2.8437746,2.112414,5.938055,0.0,0.0,2.252662,1.9537241,2.055637,0.0,0.0
7691,1731.0946,414.5183,2169.9534,13.0,8.0,37.598,4.69975,2.615875,2.0,1290.6769,2169.9534,544.5773,2149.1702,414.5183,0,9,0,0,4,0,6,0,0,2,0.0,16.01,0.0,0.0,21.588,0.0,2.6683333,0.0,0.0,10.794,0.0,1.6888334,0.0,0.0,5.397
57655,1269.8859,369.20947,2296.693,1077.0,314.0,2234.514,4.6552377,2.2044168,4.0,982.9018,2296.693,738.7732,2157.2268,369.20947,621,287,2,0,167,229,151,2,0,98,1327.325,568.536,3.506,0.0,335.147,5.796179,3.765139,1.753,0.0,3.4198673,2.345179,2.0236955,1.753,0.0,2.1631632
56409,2432.6628,1364.1157,2461.8582,287.0,185.0,915.775,4.871144,3.5241914,2.0,2461.8582,4101.202,2684.0176,1364.1157,2131.5015,282,0,0,5,0,183,0,0,5,0,907.564,0.0,0.0,8.211,0.0,4.9593663,0.0,0.0,1.6422,0.0,3.575612,0.0,0.0,1.6422,0.0
46857,801.2142,402.03452,2490.6309,4417.0,784.0,10156.428,10.839304,3.7660427,4.0,771.49005,2490.6309,958.89996,2054.5066,402.03452,4045,48,38,0,286,758,37,30,0,112,9485.868,104.735,65.874,0.0,499.951,12.514338,2.8306756,2.1958,0.0,4.463848,4.190128,2.377973,1.6637666,0.0,1.9175625
34554,2388.2764,1205.9076,3364.3164,812.0,263.0,1311.59,3.8238776,1.9258572,3.0,1699.7284,3364.3164,1855.8364,1205.9076,1261.2478,416,369,0,27,0,170,149,0,24,0,706.64,563.721,0.0,41.229,0.0,4.156706,3.7833624,0.0,1.717875,0.0,1.9277883,1.971792,0.0,1.627,0.0
37985,2830.4666,2667.0422,2887.7837,3284.0,561.0,7626.188,10.154711,3.2028656,3.0,2887.7837,2883.6062,1998.899,2667.0422,2096.5645,2406,72,0,806,0,504,53,0,194,0,5932.846,153.305,0.0,1540.037,0.0,11.77152,2.8925471,0.0,7.938335,0.0,3.7419484,2.1031132,0.0,2.1028092,0.0
1632,3879.0815,3412.8516,6644.9595,1488.0,452.0,3859.209,7.522825,3.5306003,2.0,3412.8516,6644.9595,5041.551,2644.605,4118.8643,1393,95,0,0,0,439,74,0,0,0,3653.449,205.76,0.0,0.0,0.0,8.322207,2.7805405,0.0,0.0,0.0,3.7454329,2.2561216,0.0,0.0,0.0
50660,777.0734,160.1603,2540.9832,1428.0,390.0,4178.811,8.797497,3.7013137,3.0,1016.9626,2540.9832,914.1087,1785.6241,160.1603,1057,9,0,0,362,317,9,0,0,149,3360.294,22.432,0.0,0.0,796.085,10.600297,2.4924445,0.0,0.0,5.3428526,4.4155617,2.4924445,0.0,0.0,2.2547584
36786,2536.8748,1812.1707,2755.291,270.0,150.0,544.245,3.1278448,2.2930863,5.0,2709.7336,2755.291,1812.1707,2561.2996,1908.4436,201,20,14,10,25,112,20,13,6,23,385.618,64.43,27.846,16.831,49.52,3.443018,3.2215,2.142,2.8051667,2.1530435,2.2292054,3.2215,2.0056922,1.7496667,2.1010435
1148,2761.1348,702.9084,3609.084,2034.0,413.0,4924.458,9.035703,2.7079651,4.0,1177.6213,3609.084,1994.0703,702.9084,1144.6727,325,1689,11,9,0,172,353,11,9,0,807.83,4070.168,19.278,27.182,0.0,4.6966863,11.530221,1.7525455,3.0202222,0.0,2.8132267,2.6784873,1.7525455,3.0202222,0.0
39384,4403.6924,2495.428,5683.352,273.0,113.0,1068.006,7.521169,5.5699296,2.0,5683.352,2495.428,4119.9097,6806.7646,5032.182,148,125,0,0,0,85,57,0,0,0,791.157,276.849,0.0,0.0,0.0,9.30773,4.857,0.0,0.0,0.0,7.513541,2.6715615,0.0,0.0,0.0
58075,1891.3888,1891.3888,1891.3888,2.0,2.0,2.994,1.497,1.497,1.0,3128.5774,2418.7434,1891.3888,3175.421,2262.4248,0,0,2,0,0,0,0,2,0,0,0.0,0.0,2.994,0.0,0.0,0.0,0.0,1.497,0.0,0.0,0.0,0.0,1.497,0.0,0.0
28968,3555.9727,3555.9727,3555.9727,1393.0,355.0,3209.406,9.04058,2.7196395,1.0,3555.9727,1961.2025,2031.0278,3855.4382,2661.982,1393,0,0,0,0,355,0,0,0,0,3209.406,0.0,0.0,0.0,0.0,9.04058,0.0,0.0,0.0,0.0,2.7196395,0.0,0.0,0.0,0.0
16530,911.47546,523.7495,2958.097,443.0,187.0,1108.78,5.2055397,3.181357,4.0,994.60046,2958.097,1339.3164,1354.3705,523.7495,349,2,0,4,88,158,2,0,4,49,927.562,2.35,0.0,5.936,172.932,5.8706455,1.175,0.0,1.484,3.5292246,3.6319113,1.175,0.0,1.484,1.949
53077,1115.7068,1107.671,4217.5283,724.0,386.0,3013.392,7.7865424,5.0699897,2.0,1107.671,4217.5283,2600.7017,741.9362,1675.9736,722,2,0,0,0,386,1,0,0,0,3010.428,2.964,0.0,0.0,0.0,7.7990365,2.964,0.0,0.0,0.0,5.079285,1.482,0.0,0.0,0.0
46179,2174.5222,1996.4937,3488.834,1513.0,354.0,3460.707,9.012258,2.268133,3.0,3488.834,1996.4937,1987.9282,3765.6216,2595.4023,53,1453,0,0,7,43,334,0,0,7,101.693,3342.224,0.0,0.0,16.79,2.3649535,10.006659,0.0,0.0,2.3985715,1.9652326,2.3043952,0.0,0.0,2.3985715
1281,983.682,647.24457,3826.5784,1558.0,179.0,3123.252,16.525143,3.2920847,2.0,3826.5784,647.24457,2253.34,4945.1553,3161.9526,40,1518,0,0,0,20,169,0,0,0,151.767,2971.485,0.0,0.0,0.0,7.58835,17.582752,0.0,0.0,0.0,3.3531,3.284864,0.0,0.0,0.0
54100,1185.663,1185.663,1185.663,134.0,96.0,303.069,3.1569688,2.5702813,1.0,1185.663,3217.1096,1617.3954,1107.748,844.2565,134,0,0,0,0,96,0,0,0,0,303.069,0.0,0.0,0.0,0.0,3.1569688,0.0,0.0,0.0,0.0,2.5702813,0.0,0.0,0.0,0.0
15603,2692.0906,2564.118,3957.8608,479.0,222.0,1107.869,4.0433173,2.622843,3.0,2564.118,3957.8608,2605.517,1597.2589,2140.63,170,21,288,0,0,113,21,140,0,0,453.931,50.571,603.367,0.0,0.0,4.0170884,2.4081428,4.3097644,0.0,0.0,3.0628939,2.4081428,2.2998643,0.0,0.0
21450,5907.3457,3608.4702,6003.1323,232.0,73.0,582.746,7.7699466,3.35792,2.0,6003.1323,3608.4702,4903.5825,7453.1157,5653.475,229,3,0,0,0,72,3,0,0,0,578.19,4.556,0.0,0.0,0.0,8.0304165,1.5186666,0.0,0.0,0.0,3.4345555,1.5186666,0.0,0.0,0.0
2623,1563.1488,273.92987,1650.1896,2389.0,486.0,5005.5312,9.55254,3.1314123,3.0,1615.5258,1650.1896,273.92987,2743.4368,928.0853,2344,23,22,0,0,482,21,21,0,0,4945.918,33.897,25.716,0.0,0.0,10.261241,1.6141429,1.2245715,0.0,0.0,3.2885041,1.4985714,1.158619,0.0,0.0
42548,3207.4065,3207.4065,3207.4065,22.0,20.0,40.622,2.0311,1.94665,1.0,694.2914,3207.4065,1581.023,1173.7336,664.9858,0,22,0,0,0,0,20,0,0,0,0.0,40.622,0.0,0.0,0.0,0.0,2.0311,0.0,0.0,0.0,0.0,1.94665,0.0,0.0,0.0
41917,4665.9106,4665.9106,4665.9106,2094.0,625.0,7941.463,12.706341,5.3051486,1.0,4665.9106,7884.01,6271.204,3762.581,5346.525,2094,0,0,0,0,625,0,0,0,0,7941.463,0.0,0.0,0.0,0.0,12.706341,0.0,0.0,0.0,0.0,5.3051486,0.0,0.0,0.0,0.0
56010,3183.463,3183.463,3183.463,13.0,12.0,31.896,2.658,2.50825,1.0,3183.463,1195.066,2010.3691,4559.3306,2749.2764,13,0,0,0,0,12,0,0,0,0,31.896,0.0,0.0,0.0,0.0,2.658,0.0,0.0,0.0,0.0,2.50825,0.0,0.0,0.0,0.0
42311,817.1092,817.1092,817.1092,3267.0,515.0,7636.776,14.8286915,3.378631,1.0,817.1092,3361.1284,1733.9282,993.67664,831.37476,3267,0,0,0,0,515,0,0,0,0,7636.776,0.0,0.0,0.0,0.0,14.8286915,0.0,0.0,0.0,0.0,3.378631,0.0,0.0,0.0,0.0
